anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
6B,6900.0,"[-76.9855146975, 38.8834738089]",FIRST,OTHERS,190683,THEFT/OTHER,2016-05-08T15:52:46.000Z,EVENING,6
2B,5301.0,"[-77.0365183459, 38.9122417131]",THIRD,OTHERS,190684,THEFT F/AUTO,2016-05-08T15:54:40.000Z,EVENING,2
6C,8302.0,"[-76.9973162064, 38.9002032254]",FIRST,OTHERS,190685,THEFT/OTHER,2016-05-08T16:11:29.000Z,EVENING,6
5E,9204.0,"[-76.9971655161, 38.9209404276]",FIFTH,OTHERS,190686,THEFT/OTHER,2016-05-08T16:20:13.000Z,EVENING,5
2F,4902.0,"[-77.0249973913, 38.9056506367]",THIRD,OTHERS,190687,THEFT F/AUTO,2016-05-08T16:59:31.000Z,EVENING,2
7C,7806.0,"[-76.9280385737, 38.9046672569]",SIXTH,OTHERS,190688,MOTOR VEHICLE THEFT,2016-05-08T17:11:45.000Z,EVENING,7
6A,8001.0,"[-76.9855120694, 38.8964188456]",FIRST,OTHERS,190689,THEFT F/AUTO,2016-05-08T18:07:03.000Z,EVENING,6
1B,4400.0,"[-77.0239742621, 38.9144610118]",THIRD,OTHERS,190690,BURGLARY,2016-05-08T18:23:22.000Z,EVENING,1
5E,3302.0,"[-77.010599112, 38.9162646578]",FIFTH,OTHERS,190691,THEFT/OTHER,2016-05-08T18:27:30.000Z,EVENING,5
6E,4701.0,"[-77.0161770513, 38.9031298522]",FIRST,OTHERS,190692,THEFT F/AUTO,2016-05-08T18:27:36.000Z,EVENING,6
8A,7503.0,"[-76.9878456137, 38.8672679645]",SEVENTH,OTHERS,190693,ROBBERY,2016-05-08T18:36:23.000Z,EVENING,8
5D,8802.0,"[-76.9820177417, 38.9022107365]",FIFTH,OTHERS,190694,THEFT/OTHER,2016-05-08T18:48:39.000Z,EVENING,5
6E,4702.0,"[-77.0209151703, 38.9025255401]",FIRST,OTHERS,190695,THEFT F/AUTO,2016-05-08T18:58:58.000Z,EVENING,6
8D,10900.0,"[-77.010930242, 38.8197485279]",SEVENTH,OTHERS,190696,THEFT/OTHER,2016-05-08T19:28:13.000Z,EVENING,8
